,publisher_id,publisher
245,246,Red Fox
246,247,Riverhead Books
247,248,Riverhead Hardcover
248,249,Rizzoli
249,250,Roc
250,251,Rupa & Co
251,252,Sarah Crichton Books
252,253,Scholastic
253,254,Scholastic Books
254,255,Scholastic Inc.
255,256,Scholastic Paperbacks
256,257,Scholastic Press
257,258,Scribner
258,259,Seal
259,260,See Sharp Press
260,261,Seuil
261,262,Severn House Publishers
262,263,Shadow Mountain
263,264,Shambhala
264,265,Signet
265,266,Signet Book
266,267,Signet Classics
267,268,Simon  Schuster
268,269,Simon & Schuster
269,270,Simon & Schuster Childrens Books
270,271,Simon & Schuster Paperbacks
271,272,Simon & Schuster Simon Pulse
272,273,Simon & Schuster; Media Tie-In edition
273,274,Simon Pulse
274,275,Simon Schuster
275,276,Simon and Schuster
276,277,Smithmark Publishers
277,278,Speak
278,279,Spectra
279,280,Spectra Books
280,281,Square Fish
281,282,St. Martin's Griffin
282,283,St. Martin's Paperbacks
283,284,St. Martin's Press
284,285,Starfire
285,286,Starscape
286,287,TIme Warner Books
287,288,Tanglewood
288,289,Tarcherperigee
289,290,The Chicken House
290,291,Thomas Nelson
291,292,Thorndike Press
292,293,Titan Books
293,294,Tom Doherty Tor Fantasy
294,295,Top Shelf Productions
295,296,Tor
296,297,Tor Books
297,298,Tor Fantasy
298,299,Touchstone Books
299,300,Turtleback
300,301,Turtleback Books
301,302,Tyndale House Publishers
302,303,VIZ Media LLC
303,304,Vermilion
304,305,Vertigo
305,306,Victor Gollancz
306,307,Viking
307,308,Viking Adult
308,309,Vintage
309,310,Vintage Books
310,311,Vintage Books USA
311,312,Vintage Classics
312,313,Vintage Contemporaries
313,314,Vintage Crime
314,315,Vintage International
315,316,Virago
316,317,Virago Press (UK)
317,318,Vision
318,319,Voyager
319,320,W. W. Norton  Company
320,321,W. W. Norton & Company
321,322,W.W. Norton & Company
322,323,W.W. Norton & Company (NYC)
323,324,Walker Books
324,325,Warne
325,326,Warner Books
326,327,Warner Books (NY)
327,328,Warners Visions Books
328,329,Washington Square Press
329,330,Wildside Press
330,331,William Morrow
331,332,William Morrow / HarperCollins / Harper Perennial
332,333,William Morrow Paperbacks
333,334,William Morrow; 1ST edition
334,335,Wordsworth Editions
335,336,Workman Publishing Company
336,337,Wyatt Book
337,338,Yale University Press
338,339,Yearling
339,340,Yearling Books
