,author_id,author
179,180,Franz Kafka/Jason Baker/Donna Freed
180,181,Franz Kafka/Max Brod/Willa Muir/Edwin Muir
181,182,Friedrich Nietzsche/R.J. Hollingdale/Michael Tanner
182,183,Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus
183,184,Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers
184,185,Fyodor Dostoyevsky/David McDuff
185,186,Fyodor Dostoyevsky/Fyodor Dostoevsky/Richard Pevear/Larissa Volokhonsky
186,187,Gabriel García Márquez
187,188,Gabriel García Márquez/Edith Grossman
188,189,Gabriel García Márquez/Gregory Rabassa
189,190,Gail Carson Levine
190,191,Gary Paulsen
191,192,Geoffrey Chaucer/Nevill Coghill
192,193,George Bernard Shaw
193,194,George Eliot/A.S. Byatt
194,195,George Orwell/Boris Grabnar/Peter Škerl
195,196,George Orwell/Christopher Hitchens
196,197,George Orwell/Lionel Trilling
197,198,George R.R. Martin
198,199,George S. Clason
199,200,George Selden/Garth Williams
200,201,Geraldine Brooks
201,202,Giada De Laurentiis
202,203,Graham Greene/Monica Ali
203,204,Graham Greene/Robert  Stone
204,205,Grant Morrison/Dave McKean
205,206,Greg Behrendt/Liz Tuccillo
206,207,Gregory Maguire
207,208,Gregory Maguire/Douglas Smith/Jelena Bojić
208,209,Gwyn Hyman Rubio
209,210,H. Rider Haggard
210,211,H.G. Wells
211,212,H.G. Wells/Arthur C. Clarke
212,213,Harlan Coben
213,214,Haruki Murakami
214,215,Haruki Murakami/Alfred Birnbaum
215,216,Haruki Murakami/Jay Rubin
216,217,Haruki Murakami/Philip Gabriel
217,218,Henry David Thoreau
218,219,Henry James/Patricia Crick
219,220,Henry Miller/Jiří Níl
220,221,Herman Wouk
221,222,Herodotus/Aubrey de Sélincourt/John M. Marincola
222,223,Hiromu Arakawa/Akira Watanabe
223,224,Homer/Robert Fagles/Bernard Knox
224,225,Howard Zinn
225,226,Iain M. Banks
226,227,Ian Fleming
227,228,Ian McEwan
228,229,Ilona Andrews
229,230,Irvine Welsh/Eric Lindor Fall
230,231,Isaac Asimov
231,232,Isabel Allende/Margaret Sayers Peden
232,233,Ishmael Beah
233,234,Ivan Turgenev/George Reavy/Jane Costlow
234,235,J.D. Salinger
235,236,J.K. Rowling/Mary GrandPré
236,237,J.M. Barrie/Michael Hague
237,238,J.M. Coetzee
238,239,J.R. Ward
239,240,J.R.R. Tolkien
240,241,J.R.R. Tolkien/Christopher Tolkien/Ted Nasmith
241,242,J.R.R. Tolkien/Peter S. Beagle
242,243,Jack London
243,244,Jack London/Avi
244,245,Jacqueline Carey
245,246,Jacquelyn Mitchard
246,247,James   McBride
247,248,James A. Michener
248,249,James C. Collins/Jerry I. Porras
249,250,James Clavell
250,251,James D. Bradley/Ron Powers
251,252,James Ellroy
252,253,James Fenimore Cooper
253,254,James Frey
254,255,James Joyce/Jeri Johnson/Thiên Lương
255,256,James Joyce/Seamus Deane
256,257,James Patterson
257,258,James Patterson/Andrew Gross
258,259,James Patterson/Howard Roughan
259,260,James Patterson/Maxine Paetro
260,261,James Patterson/Michael Ledwidge
261,262,James Patterson/Peter de Jonge
262,263,James Patterson/مریم کاظمی‌تبار
263,264,Jane Austen/Fiona Stafford
264,265,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch
265,266,Jane Green
266,267,Jane Hamilton
267,268,Jane Hamilton/Frank  Muller/C.J. Critt
268,269,Jane Smiley
269,270,Janet Evanovich
270,271,Janet Evanovich/Lorelei King
271,272,Janet Fitch
272,273,Jared Diamond
273,274,Jasper Fforde
274,275,Jean Craighead George
275,276,Jean M. Auel
276,277,Jean-Jacques Rousseau/Maurice Cranston
277,278,Jeannette Walls
278,279,Jeffery Deaver
279,280,Jeffrey Eugenides
280,281,Jen Lancaster
281,282,Jennifer Crusie
282,283,Jennifer Weiner
283,284,Jenny Nimmo
284,285,Jerome K. Jerome
285,286,Jhumpa Lahiri
286,287,Jim Butcher
287,288,Jim Fergus
288,289,Joan Didion
289,290,Joanne Fluke
290,291,Jodi Picoult
291,292,Joe Haldeman
292,293,Joe Simpson
293,294,Johann Wolfgang von Goethe/Burton Pike/Edla Valdna
294,295,Johann Wolfgang von Goethe/Peter Salm
295,296,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
296,297,John Bunyan
297,298,John Eldredge
298,299,John Eldredge/Stasi Eldredge
299,300,John Fowles
300,301,John Gray
301,302,John Grisham
302,303,John Grisham/Jorma-Veikko Sappinen
303,304,John Grogan
304,305,John Hersey
305,306,John Howard Griffin
306,307,John Irving
307,308,John Knowles/David Levithan
308,309,John Milton/John      Leonard
309,310,John Sandford
310,311,John Steinbeck
311,312,John Steinbeck/Susan Shillinglaw
312,313,Jon Kabat-Zinn
313,314,Jon Krakauer
314,315,Jon Stone/Michael J. Smollin
315,316,Jonathan Franzen
316,317,Jonathan Safran Foer
317,318,Jonathan Swift/Robert DeMaria Jr.
318,319,Joseph Campbell/Bill Moyers
319,320,Joseph Conrad
320,321,Joseph J. Ellis
321,322,José Saramago/Giovanni Pontiero
322,323,Joyce Carol Oates
323,324,Judi Barrett/Ron Barrett
324,325,Judy Blume
325,326,Jules Verne
326,327,Jules Verne/Anthony Bonner
327,328,Jules Verne/Caleb Carr/Jordan Stump
328,329,Julia Child/Alex Prud'Homme
329,330,Julie Powell
330,331,Jung Chang
331,332,Kahlil Gibran/جبران خليل جبران/Jihad El
332,333,Karen Armstrong
333,334,Karen Cushman
334,335,Karen Joy Fowler
335,336,Karin Slaughter
336,337,Karl Marx/Friedrich Engels/Gareth Stedman Jones
337,338,Kate Atkinson
338,339,Kate DiCamillo/Bagram Ibatoulline
339,340,Kate DiCamillo/Timothy Basil Ering
340,341,Kate Jacobs
341,342,Kate Mosse
342,343,Katherine Dunn
343,344,Kazuo Ishiguro
344,345,Kelley Armstrong
345,346,Kenneth Grahame/Gillian Avery
346,347,Kerry Patterson/Joseph Grenny/Ron McMillan/Al Switzler/Stephen R. Covey
347,348,Kim Edwards
348,349,Kim Harrison
349,350,Kimon Nicolaides/Mamie Harmon
350,351,Kresley Cole
351,352,Kurt Vonnegut Jr.
352,353,Kurt Vonnegut Jr./Daniel Simon
353,354,L.M. Montgomery
354,355,Lalita Tademy
355,356,Lance Armstrong/Sally Jenkins
356,357,Laura Esquivel/Thomas  Christensen/Carol Christensen
357,358,Laura Ingalls Wilder/Garth Williams
358,359,Laurell K. Hamilton
359,360,Lauren Weisberger
360,361,Lee Child/Dick Hill
361,362,Leo Tolstoy/David Magarshack/Priscilla Meyer
362,363,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
363,364,Leon Uris
364,365,Leonardo da Vinci/H. Anna Suh
365,366,Lewis Carroll/Jane Carruth/Rene Cloke
366,367,Lewis Carroll/John Tenniel/Martin Gardner
367,368,Libba Bray
368,369,Lisa Gardner/Anna Fields
369,370,Lisa See
370,371,Lloyd Alexander
371,372,Lois Lowry
372,373,Louis Sachar
373,374,Louis Sachar/Adam McCauley
374,375,Louis de Bernières
375,376,Louisa May Alcott
376,377,Lynsay Sands
377,378,M.M. Kaye
378,379,Maeve Binchy
379,380,Maeve Binchy/René Huigen/Frans Thomése
380,381,Malcolm Gladwell
381,382,Marcel Proust/Lydia Davis
382,383,Marcus Aurelius/Martin Hammond/Albert Wittstock/Diskin Clay
383,384,Margaret Atwood
384,385,Margaret Atwood/Laurel Merlington
385,386,Margaret Mitchell
386,387,Margaret Weis/Tracy Hickman
387,388,Margaret Wise Brown/Clement Hurd
388,389,Marguerite Henry/Wesley Dennis
389,390,Marian Keyes
390,391,Marilynne Robinson
391,392,Marisha Pessl
392,393,Marjane Satrapi/Anjali Singh
393,394,Marjane Satrapi/Mattias Ripa
394,395,Mark Haddon
395,396,Mark Kurlansky
396,397,Mark Twain/Guy Cardwell/John Seelye
397,398,Mark Twain/Guy Cardwell/John Seelye/Walter Trier
398,399,Mark Twain/Shelly Fisher Fishkin
